TeamID,Key,School,Name,Conference
229,LIUB,LIU,Sharks,Northeast
230,ROBMS,Robert Morris,Colonials,Horizon League
231,BRYANT,Bryant,Bulldogs,America East
232,CENCON,Central Connecticut State,Blue Devils,Northeast
233,BELM,Belmont,Bruins,Missouri Valley
234,TENTCH,Tennessee Tech,Golden Eagles,Ohio Valley
235,TENST,Tennessee State,Tigers,Ohio Valley
236,MHST,Morehead State,Eagles,Ohio Valley
237,EKENT,Eastern Kentucky,Colonels,Atlantic Sun
238,JAXST,Jacksonville State,Gamecocks,Conference USA
239,EILL,Eastern Illinois,Panthers,Ohio Valley
240,MURST,Murray State,Racers,Missouri Valley
241,TMRT,UT Martin,Skyhawks,Ohio Valley
242,AUSP,Austin Peay,Governors,Atlantic Sun
243,SEMST,Southeast Missouri State,Redhawks,Ohio Valley
244,SIUE,SIUE,Cougars,Ohio Valley
245,ORE,Oregon,Ducks,Big Ten
246,USC,USC,Trojans,Big Ten
247,ARZ,Arizona,Wildcats,Big 12
248,UTAH,Utah,Utes,Big 12
249,WASH,Washington,Huskies,Big Ten
250,COL,Colorado,Buffaloes,Big 12
251,CAH,California,Golden Bears,Atlantic Coast
252,OREGST,Oregon State,Beavers,Pac-12
253,UCLA,UCLA,Bruins,Big Ten
254,STAN,Stanford,Cardinal,Atlantic Coast
255,ARZST,Arizona State,Sun Devils,Big 12
256,WASHST,Washington State,Cougars,Pac-12
257,BUCK,Bucknell,Bison,Patriot League
258,NAVY,Navy,Midshipmen,Patriot League
259,BOSTU,Boston,Terriers,Patriot League
260,LEHI,Lehigh,Mountain Hawks,Patriot League
261,COLG,Colgate,Raiders,Patriot League
262,LOYMD,Loyola Maryland,Greyhounds,Patriot League
263,ARMY,Army,Black Knights,Patriot League
264,HOLY,Holy Cross,Crusaders,Patriot League
265,AMERCN,American,Eagles,Patriot League
266,LAFAY,Lafayette,Leopards,Patriot League
267,SC,South Carolina,Gamecocks,Southeastern
268,UK,Kentucky,Wildcats,Southeastern
269,LSU,LSU,Tigers,Southeastern
270,TXAM,Texas A&M,Aggies,Southeastern
271,FL,Florida,Gators,Southeastern
272,GA,Georgia,Bulldogs,Southeastern
273,VAND,Vanderbilt,Commodores,Southeastern
274,MISS,Ole Miss,Rebels,Southeastern
275,ALA,Alabama,Crimson Tide,Southeastern
276,ARK,Arkansas,Razorbacks,Southeastern
277,TENN,Tennessee,Volunteers,Southeastern
278,MSPST,Mississippi State,Bulldogs,Southeastern
279,AUBRN,Auburn,Tigers,Southeastern
280,MISSR,Missouri,Tigers,Southeastern
281,CHAT,Chattanooga,Mocs,Southern
282,ETNST,East Tennessee State,Buccaneers,Southern
283,FURMAN,Furman,Paladins,Southern
284,MERC,Mercer,Bears,Southern
285,WOFF,Wofford,Terriers,Southern
286,NCG,UNCG,Spartans,Southern
287,WCAR,Western Carolina,Catamounts,Southern
288,CITA,The Citadel,Bulldogs,Southern
289,SAMF,Samford,Bulldogs,Southern
290,VAMIL,VMI,Keydets,Southern
291,SFAUS,Stephen F. Austin,Lumberjacks,Southland
292,TAMU,Texas A&M-Corpus Christi,Islanders,Southland
293,HOUBAP,Houston Christian,Huskies,Southland
294,INCAR,Incarnate Word,Cardinals,Southland
295,SMHO,Sam Houston,Bearkats,Conference USA
296,ABCHR,Abilene Christian,Wildcats,Western Athletic
297,NO,New Orleans,Privateers,Southland
298,CARK,Central Arkansas,Bears,Atlantic Sun
299,MCNST,McNeese State,Cowboys,Southland
300,SELOU,Southeastern Louisiana,Lions,Southland
301,NWST,Northwestern State,Demons,Southland
302,NICHLS,Nicholls,Colonels,Southland
303,LAMAR,Lamar,Cardinals,Southland
304,TXS,Texas Southern,Tigers,Southwestern Athletic
