TeamID,Key,School
973,LINDEN,Lindenwood-Belleville
975,MSJ,Mt. St. Joseph
976,WHIT,Whittier
977,NAS,North American
978,MDW,Michigan-Dearborn
979,OCE,Oklahoma Christian
981,GCL,Georgian Court
983,UMSL,University of Missouri-St.Louis
984,HASKELL,Haskell Indian Nations
985,HFAMILY,Holy Family College
986,PSY,Penn State-York
987,VAN,Vanguard
988,MORE,Morehouse College
989,LEWIS,Lewis
990,CSEB,Cal State-East Bay
991,PLN,Point Loma Nazarene
992,MUHL,Muhlenberg
993,MSM,Minnesota State-Mankato
994,SRU,Slippery Rock
995,SJM,Saint John's (MN)
996,UWW,Wisconsin-Whitewater
997,UWF,West Florida
998,FSB,Ferris State
999,CLRK,Clark
1000,SUB,Shaw
1001,LBB,Livingstone
1002,DBU,Dallas Baptist
1003,OBB,Oklahoma Baptist
1004,DOCP,Dominican (CA)
1005,AAUK,Academy of Art
1006,CUI,Concordia-Irvine
1007,UCSD,California-San Diego
1009,SHP,Shippensburg
1010,RUR,Regis
1011,UCCS,Colorado-Colorado Springs
1012,NTHW,Northwood
1013,ECKC,Eckerd College
1014,MSR,Metropolitan State
1016,RUTC,Rutgers-Camden
1017,CRC,Crowley's Ridge College
1018,VST,Virginia State
1019,VUP,Virginia Union
1020,CUP,Clafin
1021,OHC,Oak Hill Christian
1022,ALF,Alfred State College
1023,DEA,Dean College
1024,TARL,Tarleton State
1025,BELLA,Bellarmine
1028,BEL,Belhaven
1029,INDY,Indianapolis
1030,VAW,VA Wesleyan
1031,PPU,Point Park
1032,ADAMS,Adams State
1033,NG,North Georgia
1034,LIME,Limestone
1035,LBC,Lancaster Bible College
1036,SHRE,LSU-Shreveport
1037,GSW,Georgia Southwestern State
1038,CARO,Carolina
1039,RIC,Rhode Island College
1040,MHB,Mary Hardin-Baylor
1041,TAMT,Texas A&M-Texarkana
1042,CARLOW,Carlow
1043,EMM,Emmanuel
1044,CSC,Columbus State
1045,EVA,Evangel 
1046,TIU,Trinity International
1047,TUP,Transylvania
1048,BCRR,Bluefield College
1049,PUG,Park-Gilbert
1050,LCST,Lewis Clark State
1051,CCGA,College of Coastal Georgia
1052,LUM,Lincoln (MO)
1053,LURE,Life
1054,MIDWS,Midwestern State
1055,SCA,SC Aiken
1056,NCPM,NC Pembroke
